batch,WSI,caseID,readerID,modalityID,score,experience,experienceResident,labelROI,VTA,percentStroma,densityTILs,createDate,viewerWidth,viewerHeight,viewerMag,task,inputFileName
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x124700.2190_y17272.2190,unknown5139,camic,NA,100,100,Other Regions,FALSE,NA,NA,2020-02-18 21:48:38,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x112500.2190_y34683.2190,unknown5139,camic,5,100,100,Intra-Tumoral Stroma,TRUE,NA,5,2020-02-18 21:49:09,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x124179.2190_y13060.2190,unknown5139,camic,10,100,100,Intra-Tumoral Stroma,TRUE,NA,10,2020-02-18 21:49:49,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x127215.2190_y12508.2190,unknown5139,camic,NA,100,100,Other Regions,FALSE,NA,NA,2020-02-18 21:50:09,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x123975.2190_y8044.2190,unknown5139,camic,5,100,100,Intra-Tumoral Stroma,TRUE,NA,5,2020-02-18 21:50:35,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x110016.2190_y34098.2190,unknown5139,camic,5,100,100,Intra-Tumoral Stroma,TRUE,NA,5,2020-02-18 21:51:12,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x114880.2190_y35098.2190,unknown5139,camic,1,100,100,Intra-Tumoral Stroma,TRUE,NA,1,2020-02-18 21:51:36,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x124707.2190_y10468.2190,unknown5139,camic,5,100,100,Intra-Tumoral Stroma,TRUE,NA,5,2020-02-18 21:51:56,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x126468.2190_y37339.2190,unknown5139,camic,NA,100,100,Other Regions,FALSE,NA,NA,2020-02-18 21:54:54,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x123408.2190_y37513.2190,unknown5139,camic,NA,100,100,Other Regions,FALSE,NA,NA,2020-02-18 21:55:07,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x51489.2190_y26037.2190,unknown5139,camic,NA,100,100,Other Regions,FALSE,NA,NA,2020-02-18 21:56:13,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x47975.2190_y29785.2190,unknown5139,camic,1,100,100,Intra-Tumoral Stroma,TRUE,NA,1,2020-02-18 21:56:32,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x44798.2190_y14241.2190,unknown5139,camic,NA,100,100,Other Regions,FALSE,NA,NA,2020-02-18 21:56:47,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x38416.2190_y22640.2190,unknown5139,camic,NA,100,100,Other Regions,FALSE,NA,NA,2020-02-18 21:57:04,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x21746.2190_y18323.2190,unknown5139,camic,NA,100,100,Other Regions,FALSE,NA,NA,2020-02-18 21:57:25,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x40928.2190_y21499.2190,unknown5139,camic,NA,100,100,Other Regions,FALSE,NA,NA,2020-02-18 21:57:45,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x14580.2190_y15813.2190,unknown5139,camic,3,100,100,Intra-Tumoral Stroma,TRUE,NA,3,2020-02-18 21:58:07,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x14355.2190_y13249.2190,unknown5139,camic,1,100,100,Intra-Tumoral Stroma,TRUE,NA,1,2020-02-18 21:58:30,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x11429.2190_y11861.2190,unknown5139,camic,1,100,100,Intra-Tumoral Stroma,TRUE,NA,1,2020-02-18 21:58:49,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x47964.2190_y27499.2190,unknown5139,camic,1,100,100,Intra-Tumoral Stroma,TRUE,NA,1,2020-02-18 21:59:12,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-12B.ndpi,HTT-TILS-001-12B.ndpi_x50866.2190_y12808.2190,unknown5139,camic,NA,100,100,Tumor with No Intervening Stroma,FALSE,NA,NA,2020-02-18 22:00:08,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-12B.ndpi,HTT-TILS-001-12B.ndpi_x47064.2190_y33922.2190,unknown5139,camic,NA,100,100,Tumor with No Intervening Stroma,FALSE,NA,NA,2020-02-18 22:00:32,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-12B.ndpi,HTT-TILS-001-12B.ndpi_x70175.2190_y65596.2190,unknown5139,camic,1,100,100,Intra-Tumoral Stroma,TRUE,NA,1,2020-02-18 22:01:14,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-12B.ndpi,HTT-TILS-001-12B.ndpi_x53028.2190_y59682.2190,unknown5139,camic,1,100,100,Intra-Tumoral Stroma,TRUE,NA,1,2020-02-18 22:01:49,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-12B.ndpi,HTT-TILS-001-12B.ndpi_x51679.2190_y33184.2190,unknown5139,camic,NA,100,100,Tumor with No Intervening Stroma,FALSE,NA,NA,2020-02-18 22:02:15,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-12B.ndpi,HTT-TILS-001-12B.ndpi_x55510.2190_y35722.2190,unknown5139,camic,5,100,100,Intra-Tumoral Stroma,TRUE,NA,5,2020-02-18 22:02:49,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-12B.ndpi,HTT-TILS-001-12B.ndpi_x47801.2190_y16041.2190,unknown5139,camic,1,100,100,Intra-Tumoral Stroma,TRUE,NA,1,2020-02-18 22:03:25,NA,NA,NA,doVTA_caMicro_v1.0,NA
FDA-HTT-batch001,HTT-TILS-001-12B.ndpi,HTT-TILS-001-12B.ndpi_x53404.2190_y10528.2190,unknown5139,camic,NA,100,100,Tumor with No Intervening Stroma,FALSE,NA,NA,2020-02-18 22:06:26,NA,NA,NA,doVTA_caMicro_v1.0,NA
