"task","batch","WSI","ROI","left","top","width","height","widthMicrons","heightMicrons"
"doVTA","FDA-HTT-batch001","HTT-TILS-001-03B.ndpi","HTT-TILS-001-03B.ndpi_x12031.2190_y69989.2190",12031,69989,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-03B.ndpi","HTT-TILS-001-03B.ndpi_x35203.2190_y30002.2190",35203,30002,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-03B.ndpi","HTT-TILS-001-03B.ndpi_x27983.2190_y6556.2190",27983,6556,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-03B.ndpi","HTT-TILS-001-03B.ndpi_x17402.2190_y6351.2190",17402,6351,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-03B.ndpi","HTT-TILS-001-03B.ndpi_x21713.2190_y6536.2190",21713,6536,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-03B.ndpi","HTT-TILS-001-03B.ndpi_x31812.2190_y3110.2190",31812,3110,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-03B.ndpi","HTT-TILS-001-03B.ndpi_x24760.2190_y7348.2190",24760,7348,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-03B.ndpi","HTT-TILS-001-03B.ndpi_x14140.2190_y66170.2190",14140,66170,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-03B.ndpi","HTT-TILS-001-03B.ndpi_x4934.2190_y68036.2190",4934,68036,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-03B.ndpi","HTT-TILS-001-03B.ndpi_x16884.2190_y9025.2190",16884,9025,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-04B.ndpi","HTT-TILS-001-04B.ndpi_x16082.2190_y26289.2190",16082,26289,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-04B.ndpi","HTT-TILS-001-04B.ndpi_x15533.2190_y42725.2190",15533,42725,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-04B.ndpi","HTT-TILS-001-04B.ndpi_x26472.2190_y45352.2190",26472,45352,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-04B.ndpi","HTT-TILS-001-04B.ndpi_x24343.2190_y11775.2190",24343,11775,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-04B.ndpi","HTT-TILS-001-04B.ndpi_x35484.2190_y9880.2190",35484,9880,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-04B.ndpi","HTT-TILS-001-04B.ndpi_x12634.2190_y24659.2190",12634,24659,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-04B.ndpi","HTT-TILS-001-04B.ndpi_x19366.2190_y44197.2190",19366,44197,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-04B.ndpi","HTT-TILS-001-04B.ndpi_x28512.2190_y30268.2190",28512,30268,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-04B.ndpi","HTT-TILS-001-04B.ndpi_x52158.2190_y10487.2190",52158,10487,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-04B.ndpi","HTT-TILS-001-04B.ndpi_x30710.2190_y10070.2190",30710,10070,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-07B.ndpi","HTT-TILS-001-07B.ndpi_x15413.2190_y24755.2190",15413,24755,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-07B.ndpi","HTT-TILS-001-07B.ndpi_x19956.2190_y23375.2190",19956,23375,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-07B.ndpi","HTT-TILS-001-07B.ndpi_x34524.2190_y58967.2190",34524,58967,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-07B.ndpi","HTT-TILS-001-07B.ndpi_x26112.2190_y22842.2190",26112,22842,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-07B.ndpi","HTT-TILS-001-07B.ndpi_x9361.2190_y23466.2190",9361,23466,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-07B.ndpi","HTT-TILS-001-07B.ndpi_x43375.2190_y39654.2190",43375,39654,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-07B.ndpi","HTT-TILS-001-07B.ndpi_x14814.2190_y22165.2190",14814,22165,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-07B.ndpi","HTT-TILS-001-07B.ndpi_x34255.2190_y34453.2190",34255,34453,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-07B.ndpi","HTT-TILS-001-07B.ndpi_x46616.2190_y38235.2190",46616,38235,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-07B.ndpi","HTT-TILS-001-07B.ndpi_x48698.2190_y41138.2190",48698,41138,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-08B.ndpi","HTT-TILS-001-08B.ndpi_x47964.2190_y27499.2190",47964,27499,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-08B.ndpi","HTT-TILS-001-08B.ndpi_x11429.2190_y11861.2190",11429,11861,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-08B.ndpi","HTT-TILS-001-08B.ndpi_x14580.2190_y15813.2190",14580,15813,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-08B.ndpi","HTT-TILS-001-08B.ndpi_x14355.2190_y13249.2190",14355,13249,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-08B.ndpi","HTT-TILS-001-08B.ndpi_x40928.2190_y21499.2190",40928,21499,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-08B.ndpi","HTT-TILS-001-08B.ndpi_x21746.2190_y18323.2190",21746,18323,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-08B.ndpi","HTT-TILS-001-08B.ndpi_x38416.2190_y22640.2190",38416,22640,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-08B.ndpi","HTT-TILS-001-08B.ndpi_x44798.2190_y14241.2190",44798,14241,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-08B.ndpi","HTT-TILS-001-08B.ndpi_x47975.2190_y29785.2190",47975,29785,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-08B.ndpi","HTT-TILS-001-08B.ndpi_x51489.2190_y26037.2190",51489,26037,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-09B.ndpi","HTT-TILS-001-09B.ndpi_x17118.2190_y11111.2190",17118,11111,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-09B.ndpi","HTT-TILS-001-09B.ndpi_x23609.2190_y31380.2190",23609,31380,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-09B.ndpi","HTT-TILS-001-09B.ndpi_x29500.2190_y15169.2190",29500,15169,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-09B.ndpi","HTT-TILS-001-09B.ndpi_x13110.2190_y25394.2190",13110,25394,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-09B.ndpi","HTT-TILS-001-09B.ndpi_x26770.2190_y31772.2190",26770,31772,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-09B.ndpi","HTT-TILS-001-09B.ndpi_x33926.2190_y19425.2190",33926,19425,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-09B.ndpi","HTT-TILS-001-09B.ndpi_x21296.2190_y13019.2190",21296,13019,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-09B.ndpi","HTT-TILS-001-09B.ndpi_x23098.2190_y28725.2190",23098,28725,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-09B.ndpi","HTT-TILS-001-09B.ndpi_x13110.2190_y22594.2190",13110,22594,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-09B.ndpi","HTT-TILS-001-09B.ndpi_x16547.2190_y25220.2190",16547,25220,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-11B.ndpi","HTT-TILS-001-11B.ndpi_x123408.2190_y37513.2190",123408,37513,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-11B.ndpi","HTT-TILS-001-11B.ndpi_x126468.2190_y37339.2190",126468,37339,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-11B.ndpi","HTT-TILS-001-11B.ndpi_x124707.2190_y10468.2190",124707,10468,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-11B.ndpi","HTT-TILS-001-11B.ndpi_x114880.2190_y35098.2190",114880,35098,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-11B.ndpi","HTT-TILS-001-11B.ndpi_x123975.2190_y8044.2190",123975,8044,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-11B.ndpi","HTT-TILS-001-11B.ndpi_x110016.2190_y34098.2190",110016,34098,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-11B.ndpi","HTT-TILS-001-11B.ndpi_x127215.2190_y12508.2190",127215,12508,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-11B.ndpi","HTT-TILS-001-11B.ndpi_x124179.2190_y13060.2190",124179,13060,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-11B.ndpi","HTT-TILS-001-11B.ndpi_x112500.2190_y34683.2190",112500,34683,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-11B.ndpi","HTT-TILS-001-11B.ndpi_x124700.2190_y17272.2190",124700,17272,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-12B.ndpi","HTT-TILS-001-12B.ndpi_x44787.2190_y54498.2190",44787,54498,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-12B.ndpi","HTT-TILS-001-12B.ndpi_x56624.2190_y8480.2190",56624,8480,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-12B.ndpi","HTT-TILS-001-12B.ndpi_x53404.2190_y10528.2190",53404,10528,2190,2190,500.079921448633,500.079921448633
"doVTA","FDA-HTT-batch001","HTT-TILS-001-12B.ndpi","HTT-TILS-001-12B.ndpi_x47801.2190_y16041.2190",47801,16041,2190,2190,500.079921448633,500.079921448633
