batch,WSI,caseID,readerID,modalityID,evaluable,densityTILs,experience,experienceResident
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x124700.2190_y17272.2190,unknown5139,camic,FALSE,NA,100,100
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x112500.2190_y34683.2190,unknown5139,camic,TRUE,5,100,100
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x124179.2190_y13060.2190,unknown5139,camic,TRUE,10,100,100
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x127215.2190_y12508.2190,unknown5139,camic,FALSE,NA,100,100
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x123975.2190_y8044.2190,unknown5139,camic,TRUE,5,100,100
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x110016.2190_y34098.2190,unknown5139,camic,TRUE,5,100,100
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x114880.2190_y35098.2190,unknown5139,camic,TRUE,1,100,100
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x124707.2190_y10468.2190,unknown5139,camic,TRUE,5,100,100
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x126468.2190_y37339.2190,unknown5139,camic,FALSE,NA,100,100
FDA-HTT-batch001,HTT-TILS-001-11B.ndpi,HTT-TILS-001-11B.ndpi_x123408.2190_y37513.2190,unknown5139,camic,FALSE,NA,100,100
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x51489.2190_y26037.2190,unknown5139,camic,FALSE,NA,100,100
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x47975.2190_y29785.2190,unknown5139,camic,TRUE,1,100,100
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x44798.2190_y14241.2190,unknown5139,camic,FALSE,NA,100,100
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x38416.2190_y22640.2190,unknown5139,camic,FALSE,NA,100,100
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x21746.2190_y18323.2190,unknown5139,camic,FALSE,NA,100,100
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x40928.2190_y21499.2190,unknown5139,camic,FALSE,NA,100,100
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x14580.2190_y15813.2190,unknown5139,camic,TRUE,3,100,100
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x14355.2190_y13249.2190,unknown5139,camic,TRUE,1,100,100
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x11429.2190_y11861.2190,unknown5139,camic,TRUE,1,100,100
FDA-HTT-batch001,HTT-TILS-001-08B.ndpi,HTT-TILS-001-08B.ndpi_x47964.2190_y27499.2190,unknown5139,camic,TRUE,1,100,100
FDA-HTT-batch001,HTT-TILS-001-12B.ndpi,HTT-TILS-001-12B.ndpi_x50866.2190_y12808.2190,unknown5139,camic,FALSE,NA,100,100
FDA-HTT-batch001,HTT-TILS-001-12B.ndpi,HTT-TILS-001-12B.ndpi_x47064.2190_y33922.2190,unknown5139,camic,FALSE,NA,100,100
FDA-HTT-batch001,HTT-TILS-001-12B.ndpi,HTT-TILS-001-12B.ndpi_x70175.2190_y65596.2190,unknown5139,camic,TRUE,1,100,100
FDA-HTT-batch001,HTT-TILS-001-12B.ndpi,HTT-TILS-001-12B.ndpi_x53028.2190_y59682.2190,unknown5139,camic,TRUE,1,100,100
FDA-HTT-batch001,HTT-TILS-001-12B.ndpi,HTT-TILS-001-12B.ndpi_x51679.2190_y33184.2190,unknown5139,camic,FALSE,NA,100,100
FDA-HTT-batch001,HTT-TILS-001-12B.ndpi,HTT-TILS-001-12B.ndpi_x55510.2190_y35722.2190,unknown5139,camic,TRUE,5,100,100
FDA-HTT-batch001,HTT-TILS-001-12B.ndpi,HTT-TILS-001-12B.ndpi_x47801.2190_y16041.2190,unknown5139,camic,TRUE,1,100,100
FDA-HTT-batch001,HTT-TILS-001-12B.ndpi,HTT-TILS-001-12B.ndpi_x53404.2190_y10528.2190,unknown5139,camic,FALSE,NA,100,100
FDA-HTT-batch001,HTT-TILS-001-12B.ndpi,HTT-TILS-001-12B.ndpi_x56624.2190_y8480.2190,unknown5139,camic,TRUE,0,100,100
FDA-HTT-batch001,HTT-TILS-001-12B.ndpi,HTT-TILS-001-12B.ndpi_x44787.2190_y54498.2190,unknown5139,camic,TRUE,1,100,100
